23 21
27 3.76940263758160e-03 3.33745691700300e-02 0.00000000000000e+00
28 1.72923642056285e-02 3.69980358014653e-02 0.00000000000000e+00
31 2.09158308370639e-02 2.34750742334184e-02 0.00000000000000e+00
32 8.74520973410614e-03 2.02139661374956e-02 0.00000000000000e+00
178 1.07811144477723e-02 2.07594851613892e-02 0.00000000000000e+00
179 1.26335967433969e-02 2.12558562964948e-02 0.00000000000000e+00
180 1.42987934697856e-02 2.17020444145696e-02 0.00000000000000e+00
181 1.57321445286343e-02 2.20861096732584e-02 0.00000000000000e+00
182 1.70112589800831e-02 2.24288473575511e-02 0.00000000000000e+00
183 1.80691016420086e-02 2.27122954445332e-02 0.00000000000000e+00
184 1.89136716386314e-02 2.29385972930798e-02 0.00000000000000e+00
185 1.96954127925505e-02 2.31480642039626e-02 0.00000000000000e+00
186 2.03361209455611e-02 2.33197414361459e-02 0.00000000000000e+00
207 5.89407053090290e-03 3.39438722162298e-02 0.00000000000000e+00
208 7.71798252543456e-03 3.44325879622300e-02 0.00000000000000e+00
209 9.36373566927818e-03 3.48735661880639e-02 0.00000000000000e+00
210 1.08360102507281e-02 3.52680609732003e-02 0.00000000000000e+00
211 1.21040328396557e-02 3.56078266018878e-02 0.00000000000000e+00
212 1.31543424425291e-02 3.58892562117804e-02 0.00000000000000e+00
213 1.42571603654167e-02 3.61847553836167e-02 0.00000000000000e+00
214 1.51697894121855e-02 3.64292935996876e-02 0.00000000000000e+00
215 1.59984344421505e-02 3.66513283662788e-02 0.00000000000000e+00
216 1.66862041675965e-02 3.68356157087906e-02 0.00000000000000e+00
146 102 32 178 
147 102 178 179 
148 102 179 180 
149 102 180 181 
150 102 181 182 
151 102 182 183 
152 102 183 184 
153 102 184 185 
154 102 185 186 
155 102 186 31 
179 102 207 27 
180 102 208 207 
181 102 209 208 
182 102 210 209 
183 102 211 210 
184 102 212 211 
185 102 213 212 
186 102 214 213 
187 102 215 214 
188 102 216 215 
189 102 28 216 
